f,1,
Username,Password,First_Name,Last_Name,Father_Name,Age,CNIC,FSC_Marks,NET_Marks,
ali,123,Ali,Ahmad,Ahmad,21,364289845274,1050,150,
a,z,Muhammad,Mustafa,s,19,3650209003658,1089,147,
ahmad,123,Raja,Shahzaib2.0,ac,19,3630251644685,1089,100,
wafa,456,wajiha,Fatima,Fatima,19,3630251644685,1067,100,
wafa,456,wajiha,Fatima,SajidMehmood,19,36501,1000,5,
shah,123,ali,shahzaib,ac,60,36302,1052,5,
ssadeed,123,sadeed,anwar,anwar,69,69420,1100,3,
a,q,w,e,r,4,5,6,3,
sunam69,69420,Sunaam,Jutt,Akhtar,19,69421,1069,2,
ghania,Sarwar,ghania,Sarwar,Sarwar,18,23576,1082,2,
